0,1,idQ,idA
can you explain details about linking my account to payme app,How do I add an account to PayMe,2024,57
connect my citi bank account to payme. how to do it,How do I add an account to PayMe,3552,57
check process for connecting my account to payme,How do I add an account to PayMe,3801,57
add bank account to my payme app,How do I add an account to PayMe,2448,57
how to link citi bank account to payme,How do I add an account to PayMe,3857,57
what can i do if i want to link my account to payme,How do I add an account to PayMe,1748,57
i am trying to connect my payme to my hkd saving account,How do I add an account to PayMe,3653,57
i tried to connect my hsbc bank account to payme app,How do I add an account to PayMe,1975,57
i can set to transfer 123 limit from my account to payme app,How do I change my PayMe limit,2170,38
how can i raise transfer limit from hsbc credit card to payme,How do I change my PayMe limit,3584,38
I want to change the payme limit but failed to find the botton.,How do I change my PayMe limit,4001,38
can i set 123 limit to top up on payme,How do I change my PayMe limit,3738,38
how can i change limit of payme,How do I change my PayMe limit,244,38
change my payme account limit,How do I change my PayMe limit,3632,38
how do i modify payme card top up limit,How do I change my PayMe limit,1959,38
can i set 235 limit on the amount of monthly transaction on payme when i link to one of my hsbc account,How do I change my PayMe limit,8,38
i don't know how to change limit in payme. can you tell me how,How do I change my PayMe limit,609,38
whether you can help me for payme top up limit change,How do I change my PayMe limit,3039,38
can you show me what i should do to change payme limit,How do I change my PayMe limit,1591,38
how to set transfer limit in payme,How do I change my PayMe limit,2750,38
maybe. i notice i can only send 123 limited amount of money via payme. is there 123 way i can increase that,How do I change my PayMe limit,1330,38
change limit in payme to receive money from my friend. what can i do,How do I change my PayMe limit,131,38
can i change receive limit of payme,How do I change my PayMe limit,611,38
how to cash withdraw from my payme account,How do I transfer money from PayMe to my bank account,3741,37
how do i transfer from payme to hsbc account,How do I transfer money from PayMe to my bank account,61,37
how can i fund out my money from payme,How do I transfer money from PayMe to my bank account,265,37
"when i receive money on payme account, can i transfer money to my current account",How do I transfer money from PayMe to my bank account,3236,37
"if money in payme account, can i transfer it to my saving account",How do I transfer money from PayMe to my bank account,358,37
cash out from payme. can you tell me how,How do I transfer money from PayMe to my bank account,645,37
can i transfer fund from payme wallet back to my bank account,How do I transfer money from PayMe to my bank account,2167,37
i have hkd 2500 in my payme account. want to fund out now,How do I transfer money from PayMe to my bank account,3604,37
steps of payme fund out,How do I transfer money from PayMe to my bank account,2534,37
"I mearnt if somebody gave me money, iit has already credited into my payme , how can I transfer this money to my HSBC account?",How do I transfer money from PayMe to my bank account,688,37
steps to help me fund out to my bank account from payme,How do I transfer money from PayMe to my bank account,1765,37
draw my cash withdraw from payme return my saving account,How do I transfer money from PayMe to my bank account,2331,37
send all money inside my payme to my bank account. can you do that,How do I transfer money from PayMe to my bank account,2848,37
i have some payme question. want to contact payme group,How to contact PayMe Customer Services,2947,59
i want to talk to a staff for my PayMe account,How to contact PayMe Customer Services,3189,59
"if you cannot handle question, please provide contact of payme group",How to contact PayMe Customer Services,1753,59
which department can solve my payme problem,How to contact PayMe Customer Services,2055,59
whether any other methods i can contact payme group,How to contact PayMe Customer Services,876,59
how can i increase transfer to account limit on payme,How to increase sending or receiving limit for my PayMe,2145,11
whether i can increase my payme account send limit by myself,How to increase sending or receiving limit for my PayMe,2909,11
step of increasing payme send limit,How to increase sending or receiving limit for my PayMe,1730,11
set my payme account send limit more,How to increase sending or receiving limit for my PayMe,3421,11
my friend pay me 123 large amount via payme. can i increase receive limit,How to increase sending or receiving limit for my PayMe,3347,11
I think the payme sending limit is too low and want to increase it.,How to increase sending or receiving limit for my PayMe,211,11
receive payment sent by payme. how can i increase relevant limit,How to increase sending or receiving limit for my PayMe,1747,11
can you tell me how can i increase my payme account top up limit,How to increase top up limit for my PayMe,606,17
it is not for me to top before payme. can you tell me how to increase it,How to increase top up limit for my PayMe,2910,17
my payme account top up limit is quite low. please help me to increase it,How to increase top up limit for my PayMe,1358,17
how can i increase top up maximum of hk 2000 by credit card every month in payme,How to increase top up limit for my PayMe,2031,17
steps of enhance payme top up limit,How to increase top up limit for my PayMe,751,17
can i increase my payme top up limit,How to increase top up limit for my PayMe,3553,17
whether payme top up limit can be increaseed to 10000,How to increase top up limit for my PayMe,1535,17
enhance my payme top up limit from 123 to 234,How to increase top up limit for my PayMe,1344,17
how can i pay to my friend with payme app,How to pay with PayMe,3053,33
i want to pay to my friend by payme. please tell me how do it,How to pay with PayMe,2954,33
please provide steps of paying to my friend with payme,How to pay with PayMe,3158,33
whether you can give me some advise about paying with payme,How to pay with PayMe,1569,33
"when i go to bank account to check, it says bank account is not supported by payme",What types of accounts can I add to PayMe,1186,7
can you show me account type of hsbc for adding to payme app,What types of accounts can I add to PayMe,3229,7
which type of account can be added to payme service,What types of accounts can I add to PayMe,1151,7
i have hsbc joint bank account. but when i try to connect it to payme it says bank account is not support by payme,What types of accounts can I add to PayMe,3673,7
can i add my saving account to payme as regular account,What types of accounts can I add to PayMe,1951,7
bank ac. account cannot added to payme right now. please try again,What types of accounts can I add to PayMe,49,7
payme says bank account is not supporting,What types of accounts can I add to PayMe,570,7
"but when i add my account to payme system, feedback cannot link to my payme account",What types of accounts can I add to PayMe,2186,7
"hello this is what i did, but answer was ""this account is not supported by Payme""",What types of accounts can I add to PayMe,3975,7
account is not supported by payme,What types of accounts can I add to PayMe,2762,7
first time it says bank of china account cannot be added to payme as top up origin,What types of accounts can I add to PayMe,4093,7
try to add bank account to payme but it says bank account is not supporting payme,What types of accounts can I add to PayMe,877,7
payme app show that bank account is not supported by payme,What types of accounts can I add to PayMe,2828,7
it says bank of china account cannot be added to payme as top up origin,What types of accounts can I add to PayMe,48,7
joint account is fine to use payme service,What types of accounts can I add to PayMe,3641,7
but payme app have mistake message that indicates my bank account is not supported by payme,What types of accounts can I add to PayMe,2654,7
i just install payme app. i cannot add my bank account try a few times but it shows cannot link,What types of accounts can I add to PayMe,3902,7
i am trying to set up payme but have trouble adding my hsbc bank account,What types of accounts can I add to PayMe,1200,7
i cannot link my bank account to payme app,What types of accounts can I add to PayMe,852,7
you mean inter-bank credit card can add to payme,What types of credit cards can I add to PayMe,2703,3
both visa mastercard credit card can add for using payme service,What types of credit cards can I add to PayMe,129,3
whether unionpay credit card ok to add to payme app for use,What types of credit cards can I add to PayMe,341,3
can you tell me why my visacard failed to add to payme,What types of credit cards can I add to PayMe,2777,3
can i use other inter-bank credit card to top up at payme,What types of credit cards can I add to PayMe,1787,3
confirm whether all hk credit card can add to payme,What types of credit cards can I add to PayMe,2017,3
whether hsbc use bank account to top up payme. can i set up maximum limit for transfer,What's the maximum limit for my PayMe,2184,44
any credit limit when using payme service,What's the maximum limit for my PayMe,2029,44
how can i check maximum limit of my payme account,What's the maximum limit for my PayMe,430,44
i know that there is 123 maximum limit for internet banking. is it the same payme,What's the maximum limit for my PayMe,1315,44
