0,1,idQ,idA
can you explain details about linking my account to payme app,How do I add an account to PayMe,3572,0
connect my citi bank account to payme. how to do it,How do I add an account to PayMe,1963,0
check process for connecting my account to payme,How do I add an account to PayMe,1565,0
add bank account to my payme app,How do I add an account to PayMe,2495,0
how to link citi bank account to payme,How do I add an account to PayMe,1946,0
what can i do if i want to link my account to payme,How do I add an account to PayMe,1922,0
i am trying to connect my payme to my hkd saving account,How do I add an account to PayMe,3391,0
i tried to connect my hsbc bank account to payme app,How do I add an account to PayMe,2384,0
i can set to transfer 123 limit from my account to payme app,How do I change my PayMe limit,1374,54
how can i raise transfer limit from hsbc credit card to payme,How do I change my PayMe limit,933,54
I want to change the payme limit but failed to find the botton.,How do I change my PayMe limit,3818,54
can i set 123 limit to top up on payme,How do I change my PayMe limit,2377,54
how can i change limit of payme,How do I change my PayMe limit,247,54
change my payme account limit,How do I change my PayMe limit,1326,54
how do i modify payme card top up limit,How do I change my PayMe limit,3199,54
can i set 235 limit on the amount of monthly transaction on payme when i link to one of my hsbc account,How do I change my PayMe limit,2120,54
i don't know how to change limit in payme. can you tell me how,How do I change my PayMe limit,31,54
whether you can help me for payme top up limit change,How do I change my PayMe limit,2298,54
can you show me what i should do to change payme limit,How do I change my PayMe limit,56,54
how to set transfer limit in payme,How do I change my PayMe limit,1758,54
maybe. i notice i can only send 123 limited amount of money via payme. is there 123 way i can increase that,How do I change my PayMe limit,2866,54
change limit in payme to receive money from my friend. what can i do,How do I change my PayMe limit,255,54
can i change receive limit of payme,How do I change my PayMe limit,2232,54
how to cash withdraw from my payme account,How do I transfer money from PayMe to my bank account,1406,60
how do i transfer from payme to hsbc account,How do I transfer money from PayMe to my bank account,190,60
how can i fund out my money from payme,How do I transfer money from PayMe to my bank account,576,60
"when i receive money on payme account, can i transfer money to my current account",How do I transfer money from PayMe to my bank account,531,60
"if money in payme account, can i transfer it to my saving account",How do I transfer money from PayMe to my bank account,2310,60
cash out from payme. can you tell me how,How do I transfer money from PayMe to my bank account,1265,60
can i transfer fund from payme wallet back to my bank account,How do I transfer money from PayMe to my bank account,3099,60
