0,1,idQ,idA
can you explain details about linking my account to payme app,How do I add an account to PayMe,3307,69
connect my citi bank account to payme. how to do it,How do I add an account to PayMe,2043,69
check process for connecting my account to payme,How do I add an account to PayMe,1788,69
add bank account to my payme app,How do I add an account to PayMe,2441,69
how to link citi bank account to payme,How do I add an account to PayMe,1581,69
what can i do if i want to link my account to payme,How do I add an account to PayMe,4020,69
i am trying to connect my payme to my hkd saving account,How do I add an account to PayMe,4337,69
i tried to connect my hsbc bank account to payme app,How do I add an account to PayMe,3916,69
i can set to transfer 123 limit from my account to payme app,How do I change my PayMe limit,905,2
how can i raise transfer limit from hsbc credit card to payme,How do I change my PayMe limit,4063,2
I want to change the payme limit but failed to find the botton.,How do I change my PayMe limit,853,2
can i set 123 limit to top up on payme,How do I change my PayMe limit,1602,2
how can i change limit of payme,How do I change my PayMe limit,3319,2
change my payme account limit,How do I change my PayMe limit,42,2
how do i modify payme card top up limit,How do I change my PayMe limit,1912,2
can i set 235 limit on the amount of monthly transaction on payme when i link to one of my hsbc account,How do I change my PayMe limit,2522,2
i don't know how to change limit in payme. can you tell me how,How do I change my PayMe limit,237,2
whether you can help me for payme top up limit change,How do I change my PayMe limit,2465,2
can you show me what i should do to change payme limit,How do I change my PayMe limit,3495,2
how to set transfer limit in payme,How do I change my PayMe limit,3292,2
maybe. i notice i can only send 123 limited amount of money via payme. is there 123 way i can increase that,How do I change my PayMe limit,37,2
change limit in payme to receive money from my friend. what can i do,How do I change my PayMe limit,3628,2
can i change receive limit of payme,How do I change my PayMe limit,545,2
how to cash withdraw from my payme account,How do I transfer money from PayMe to my bank account,2999,65
how do i transfer from payme to hsbc account,How do I transfer money from PayMe to my bank account,1591,65
how can i fund out my money from payme,How do I transfer money from PayMe to my bank account,779,65
"when i receive money on payme account, can i transfer money to my current account",How do I transfer money from PayMe to my bank account,4526,65
"if money in payme account, can i transfer it to my saving account",How do I transfer money from PayMe to my bank account,981,65
cash out from payme. can you tell me how,How do I transfer money from PayMe to my bank account,1028,65
can i transfer fund from payme wallet back to my bank account,How do I transfer money from PayMe to my bank account,3448,65
i have hkd 2500 in my payme account. want to fund out now,How do I transfer money from PayMe to my bank account,1492,65
steps of payme fund out,How do I transfer money from PayMe to my bank account,4016,65
"I mearnt if somebody gave me money, iit has already credited into my payme , how can I transfer this money to my HSBC account?",How do I transfer money from PayMe to my bank account,84,65
steps to help me fund out to my bank account from payme,How do I transfer money from PayMe to my bank account,455,65
draw my cash withdraw from payme return my saving account,How do I transfer money from PayMe to my bank account,3491,65
send all money inside my payme to my bank account. can you do that,How do I transfer money from PayMe to my bank account,4234,65
i have some payme question. want to contact payme group,How to contact PayMe Customer Services,1012,22
i want to talk to a staff for my PayMe account,How to contact PayMe Customer Services,947,22
"if you cannot handle question, please provide contact of payme group",How to contact PayMe Customer Services,1118,22
which department can solve my payme problem,How to contact PayMe Customer Services,1841,22
whether any other methods i can contact payme group,How to contact PayMe Customer Services,3489,22
how can i increase transfer to account limit on payme,How to increase sending or receiving limit for my PayMe,4178,27
whether i can increase my payme account send limit by myself,How to increase sending or receiving limit for my PayMe,2248,27
step of increasing payme send limit,How to increase sending or receiving limit for my PayMe,1271,27
set my payme account send limit more,How to increase sending or receiving limit for my PayMe,2181,27
my friend pay me 123 large amount via payme. can i increase receive limit,How to increase sending or receiving limit for my PayMe,674,27
I think the payme sending limit is too low and want to increase it.,How to increase sending or receiving limit for my PayMe,1933,27
receive payment sent by payme. how can i increase relevant limit,How to increase sending or receiving limit for my PayMe,652,27
can you tell me how can i increase my payme account top up limit,How to increase top up limit for my PayMe,1330,42
it is not for me to top before payme. can you tell me how to increase it,How to increase top up limit for my PayMe,2276,42
my payme account top up limit is quite low. please help me to increase it,How to increase top up limit for my PayMe,3618,42
how can i increase top up maximum of hk 2000 by credit card every month in payme,How to increase top up limit for my PayMe,996,42
steps of enhance payme top up limit,How to increase top up limit for my PayMe,1008,42
can i increase my payme top up limit,How to increase top up limit for my PayMe,1310,42
whether payme top up limit can be increaseed to 10000,How to increase top up limit for my PayMe,3337,42
enhance my payme top up limit from 123 to 234,How to increase top up limit for my PayMe,304,42
how can i pay to my friend with payme app,How to pay with PayMe,2406,66
i want to pay to my friend by payme. please tell me how do it,How to pay with PayMe,4138,66
please provide steps of paying to my friend with payme,How to pay with PayMe,1010,66
whether you can give me some advise about paying with payme,How to pay with PayMe,1272,66
"when i go to bank account to check, it says bank account is not supported by payme",What types of accounts can I add to PayMe,1088,29
can you show me account type of hsbc for adding to payme app,What types of accounts can I add to PayMe,2494,29
which type of account can be added to payme service,What types of accounts can I add to PayMe,4064,29
i have hsbc joint bank account. but when i try to connect it to payme it says bank account is not support by payme,What types of accounts can I add to PayMe,2478,29
can i add my saving account to payme as regular account,What types of accounts can I add to PayMe,3619,29
bank ac. account cannot added to payme right now. please try again,What types of accounts can I add to PayMe,72,29
payme says bank account is not supporting,What types of accounts can I add to PayMe,2825,29
"but when i add my account to payme system, feedback cannot link to my payme account",What types of accounts can I add to PayMe,634,29
"hello this is what i did, but answer was ""this account is not supported by Payme""",What types of accounts can I add to PayMe,2880,29
account is not supported by payme,What types of accounts can I add to PayMe,4260,29
first time it says bank of china account cannot be added to payme as top up origin,What types of accounts can I add to PayMe,1928,29
try to add bank account to payme but it says bank account is not supporting payme,What types of accounts can I add to PayMe,4163,29
payme app show that bank account is not supported by payme,What types of accounts can I add to PayMe,78,29
it says bank of china account cannot be added to payme as top up origin,What types of accounts can I add to PayMe,1327,29
joint account is fine to use payme service,What types of accounts can I add to PayMe,751,29
but payme app have mistake message that indicates my bank account is not supported by payme,What types of accounts can I add to PayMe,3536,29
i just install payme app. i cannot add my bank account try a few times but it shows cannot link,What types of accounts can I add to PayMe,1419,29
i am trying to set up payme but have trouble adding my hsbc bank account,What types of accounts can I add to PayMe,2265,29
i cannot link my bank account to payme app,What types of accounts can I add to PayMe,539,29
you mean inter-bank credit card can add to payme,What types of credit cards can I add to PayMe,2154,39
both visa mastercard credit card can add for using payme service,What types of credit cards can I add to PayMe,3578,39
whether unionpay credit card ok to add to payme app for use,What types of credit cards can I add to PayMe,3430,39
can you tell me why my visacard failed to add to payme,What types of credit cards can I add to PayMe,3336,39
can i use other inter-bank credit card to top up at payme,What types of credit cards can I add to PayMe,969,39
confirm whether all hk credit card can add to payme,What types of credit cards can I add to PayMe,4142,39
whether hsbc use bank account to top up payme. can i set up maximum limit for transfer,What's the maximum limit for my PayMe,210,68
any credit limit when using payme service,What's the maximum limit for my PayMe,3314,68
how can i check maximum limit of my payme account,What's the maximum limit for my PayMe,1420,68
i know that there is 123 maximum limit for internet banking. is it the same payme,What's the maximum limit for my PayMe,146,68
whether there is 123 maximum credit limit when i use payme service,What's the maximum limit for my PayMe,239,68
check maximum limit of payme before using it,What's the maximum limit for my PayMe,4546,68
payme tell me already reach maximum limit but i still want to know limit detail,What's the maximum limit for my PayMe,747,68
use other bank account to link up payme. is there any transfer limit?,What's the maximum limit for my PayMe,2304,68
check if any limit when using payme service,What's the maximum limit for my PayMe,1478,68
"my reward of selection types is wrong, can I change it?",Can I change my 'Rewards of Your Choice' spending categories,3469,10
how to change to Rewards of Choice,Can I change my 'Rewards of Your Choice' spending categories,176,10
check how can I update my hot rewards of hsbc choice,Can I change my 'Rewards of Your Choice' spending categories,2299,10
change my reward cash of my choice,Can I change my 'Rewards of Your Choice' spending categories,1147,10
to different types of expense to earn extra reward cash,Can I change my 'Rewards of Your Choice' spending categories,756,10
how to know my reward points of my visacard,Check RewardCash balance,4277,35
check how much reward cash that I have,Check RewardCash balance,1055,35
additional card user is there a way for me to see reward point?,Check RewardCash balance,1009,35
I am trying to access my reward cash check my point,Check RewardCash balance,1890,35
can I ask how to check my reward points in pib,Check RewardCash balance,3723,35
check my reward points,Check RewardCash balance,1835,35
can i show my rewardcash balance i can choose? how much point to deduct?,Check RewardCash balance,1075,35
check how much points i must redeem for my credit card,Check RewardCash balance,3540,35
how do i check my credit card reward points,Check RewardCash balance,1019,35
how do i know my rewardcash amount,Check RewardCash balance,740,35
know where i can see the amount of rewardcash i currently have,Check RewardCash balance,3248,35
how can i view my mileage reward points on my hsbc credit card,Check RewardCash balance,1799,35
how do I check what reward cash balance is,Check RewardCash balance,4167,35
i still have some reward points for my advance card,Check RewardCash balance,341,35
how to review my card reward point,Check RewardCash balance,2514,35
how can i find my credit card reward points,Check RewardCash balance,453,35
how to check my no. of rewards via internet banking,Check RewardCash balance,3591,35
where can I check my reward cash balance,Check RewardCash balance,3865,35
how do I know how much reward cash I have before clicking the redemption,Check RewardCash balance,696,35
i am trying to figure out how much rewardcash i currently must redeem,Check RewardCash balance,3126,35
please advice where to check my credit card rewards points,Check RewardCash balance,3113,35
"Thank you, check where in dashboard I can find my reward cash",Check RewardCash balance,3596,35
